Epoch,Train Loss,Token Accuracy
983,1.0426,0.557
984,1.0431,0.559
985,1.0753,0.549
986,1.0777,0.547
987,1.0559,0.554
988,1.0605,0.553
989,1.0505,0.556
990,1.0582,0.553
991,1.0497,0.556
992,1.0496,0.556
993,1.0538,0.554
994,1.056,0.553
995,1.0408,0.559
996,1.0375,0.561
997,1.0364,0.557
998,1.0681,0.552
999,1.1324,0.535
1000,1.1201,0.536
